query_id,document,query_type,question,ground_truth,tolerance_pct,is_adversarial,approach_a_answer,approach_a_em,approach_a_tol,approach_a_hallucination,approach_a_latency_sec,approach_a_input_tokens,approach_a_output_tokens,approach_a_failure_mode,approach_a_reasoning,approach_b_answer,approach_b_spatial_location,approach_b_em,approach_b_tol,approach_b_hallucination,approach_b_latency_sec,approach_b_input_tokens,approach_b_output_tokens,approach_b_failure_mode,approach_b_reasoning
GT-001,page_1_income_statement.png,direct_lookup,What was the Total Revenues of Nova Corp in FY2024?,9226.0,0.0,False,9226.0,True,True,False,0.1278,291,36,CORRECT,"Extracted from line 'Total revenues $ 5,770.0 $ 7,235.8 $ 9,226.0' matching the third column for 2024.",9226.0,"[460, 680, 485, 780] | Row 'Total revenues', Column '2024'",True,True,False,0.1794,363,56,CORRECT,"Located the 3-column table header '2024' and traced down to the 'Total revenues' row intersecting at $9,226.0M."
GT-002,page_1_income_statement.png,direct_lookup,How much did Nova Corp spend on Research and development (R&D) in FY2023?,1780.4,0.0,False,1320.0,False,False,False,0.0602,294,36,COLUMN_OR_SERIES_MISMATCH,Extracted first numeric value following Research and development (R&D) in sequential text order.,1780.4,"[570, 540, 595, 640] | Row 'Research and development (R&D)', Column '2023'",True,True,False,0.0811,366,58,CORRECT,"Scanned the operating expense rows to 'Research and development (R&D)' and read the middle 2023 column value of $1,780.4M."
GT-003,page_1_income_statement.png,arithmetic_calculation,What was the year-over-year dollar increase in Net income from FY2023 to FY2024?,473.5,0.0,False,473.5,True,True,False,0.0572,294,36,CORRECT,"Net income 2024 (1,379.0) minus 2023 (905.5) = 473.5.",473.5,"[810, 540, 840, 780] | Row 'Net income', Columns '2023' ($905.5M) and '2024' ($1,379.0M)",True,True,False,0.0809,366,60,CORRECT,"Subtracted FY2023 Net Income ($905.5M) from FY2024 Net Income ($1,379.0M) yielding $473.5M."
GT-004,page_1_income_statement.png,arithmetic_calculation,What percentage of Total revenues was generated by Subscription and recurring services in FY2024?,86.5,0.5,False,86.5%,True,True,False,0.0561,295,36,CORRECT,"Subscription revenue 7,980.2 divided by Total revenues 9,226.0 = 86.496%.",86.5%,"[380, 680, 485, 780] | Rows 'Subscription services' ($7,980.2M) and 'Total revenues' ($9,226.0M)",True,True,False,0.0808,367,59,CORRECT,"Divided FY2024 Subscription services revenue ($7,980.2M) by Total revenues ($9,226.0M), resulting in 86.496% (~86.5%)."
GT-005,page_1_income_statement.png,adversarial_trap,What was the restructuring expense recorded by Nova Corp in FY2022?,NOT_PRESENT,0.0,True,NOT_FOUND,True,True,False,0.0567,292,36,CORRECT_REJECTION,Restructuring expense for FY2022 is not present in the extracted income statement text.,NOT_FOUND,N/A,True,True,False,0.0806,364,47,CORRECT_REJECTION,Inspected all operating expense categories and footnotes on Page 1; restructuring expenses are not listed.
GT-006,page_2_balance_sheet.png,direct_lookup,"What was the value of Cloud Infrastructure & Enterprise AI segment identifiable assets as of December 31, 2024?",11920.5,0.0,False,11920.5,True,True,False,0.089,341,36,CORRECT,Matched Cloud Infrastructure & Enterprise AI segment assets for 2024 from table text.,11920.5,"[315, 660, 345, 760] | Segment Identifiable Assets Table, Row 1, Column '2024'",True,True,False,0.0813,371,59,CORRECT,"Found Segment Assets table, identified Cloud Infrastructure row and read 2024 column showing $11,920.5M."
GT-007,page_2_balance_sheet.png,direct_lookup,"According to footnote [1], how much in specialized GPU server cluster assets was capitalized under finance leases during FY2024?",1450.0,0.0,False,1450.0,True,True,False,0.0548,342,36,CORRECT,"Extracted $1,450.0M from footnote [1] text describing specialized GPU server clusters.",1450.0,"[780, 100, 830, 900] | Explanatory Footnote [1] below table",True,True,False,0.0808,372,56,CORRECT,"Read Explanatory Footnote [1] disclosing $1,450.0M capitalized under finance leases for GPU clusters."
GT-008,page_2_balance_sheet.png,arithmetic_calculation,What is the combined asset value of Digital Workplace & SaaS Applications and Consumer Devices & Hardware in 2024?,7820.2,0.0,False,7820.2,True,True,False,0.0551,342,36,CORRECT,"Digital Workplace (5,180.2) + Consumer Devices (2,640.0) = 7,820.2.",7820.2,"[350, 660, 420, 760] | Segment Assets Table, Rows 2 and 3, Column '2024'",True,True,False,0.0808,372,60,CORRECT,"Summed Digital Workplace ($5,180.2M) and Consumer Devices ($2,640.0M) to get $7,820.2M."
GT-009,page_2_balance_sheet.png,arithmetic_calculation,What was the total dollar increase in Stockholders' equity between 2023 and 2024?,2969.7,0.0,False,2969.7,True,True,False,0.0617,336,36,CORRECT,"Stockholders' equity 2024 (12,320.2) minus 2023 (9,350.5) = 2,969.7.",2969.7,"[680, 520, 715, 760] | Balance Sheet Summary, Row 'Stockholders equity'",True,True,False,0.081,366,57,CORRECT,"Calculated difference between 2024 ($12,320.2M) and 2023 ($9,350.5M), equalling $2,969.7M."
GT-010,page_2_balance_sheet.png,adversarial_trap,What was the dividend payout per share disclosed in the footnotes of the balance sheet for FY2024?,NOT_PRESENT,0.0,True,NOT_FOUND,True,True,False,0.0604,340,36,CORRECT_REJECTION,Dividend payout per share is not disclosed in the balance sheet footnotes text.,NOT_FOUND,N/A,True,True,False,0.0811,370,47,CORRECT_REJECTION,Thoroughly scanned the balance sheet footnotes; no dividend per share disclosure is present.
